2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
20.83,25.62,17.9,21.54,27.55,28.41,27.74,26.73,19.16,16.7,18.92
28034208.0,26630325.0,25814788.0,26190308.0,25785221.0,25272366.0,25650321.0,26034264.0,26420723.0,26958202.0,27144978.0
